Date,Open,High,Low,Close,Volume
3/1/1995,3062.6,3066.5,3050.6,3065.7,0
4/1/1995,3063.9,3072.1,3051.5,3051.6,0
5/1/1995,3049.5,3049.5,3028.2,3032.3,0
6/1/1995,3027,3067.9,3019.9,3065,0
9/1/1995,3064.9,3069.6,3054,3055.8,0
10/1/1995,3048.9,3060.5,3038.4,3060.4,0
11/1/1995,3050.6,3075,3042.4,3049.4,0
12/1/1995,3051.4,3060,3032.4,3033.2,0
13/1/1995,3023,3048.5,3016.1,3048.3,0
16/1/1995,3068.5,3076.7,3060.9,3076.7,0
17/1/1995,3081.5,3084.4,3054,3054,0
18/1/1995,3052.5,3061,3044.2,3054.9,0
19/1/1995,3051.4,3051.4,3027.2,3028.6,0
20/1/1995,3003.3,3013.8,2989,2995.9,0
23/1/1995,2968.8,2992,2949.4,2954.2,0
24/1/1995,2971.1,2973.4,2964.6,2969,0
25/1/1995,2971,2986.5,2964.4,2982.2,0
26/1/1995,2989.2,3010.2,2989.2,3007.3,0
27/1/1995,3006.8,3022.7,3006.4,3022.2,0
30/1/1995,3021.3,3021.3,2995.1,2995.9,0
31/1/1995,2984.2,2992.7,2983.4,2991.6,0
1/2/1995,3001.8,3024,3001.8,3017.3,0
2/2/1995,3018.2,3039.3,3013.5,3034.7,0
3/2/1995,3045.4,3059.7,3033.8,3059.7,0
6/2/1995,3075,3075,3061.6,3062,0
7/2/1995,3064.7,3086.4,3064.7,3072.7,0
8/2/1995,3066.2,3072.5,3060.7,3072.5,0
9/2/1995,3072.7,3102.7,3066.9,3099,0
10/2/1995,3099,3114.6,3099,3109.9,0
13/2/1995,3105.1,3108.3,3080,3081.1,0
14/2/1995,3079,3087.3,3071.2,3071.3,0
15/2/1995,3071.5,3074.9,3060.5,3074.9,0
16/2/1995,3083.1,3083.9,3046.9,3051.1,0
17/2/1995,3053.5,3054.9,3041,3044.2,0
20/2/1995,3030.4,3030.4,3013,3018.6,0
21/2/1995,3023.6,3026.9,3012.6,3023.4,0
22/2/1995,3015,3027.4,3006.8,3019.5,0
23/2/1995,3021.4,3049.3,3021.4,3049.3,0
24/2/1995,3048.9,3049.2,3033.2,3037.7,0
27/2/1995,2998.2,3029,2998.2,3025.3,0
28/2/1995,3022,3031,3005,3009.3,0
