month,lse_tone_mean,lse_pos_sum,lse_neg_sum,lse_unc_sum,vader_compound_mean,tb_polarity_mean,speech_count,ftse250_close,ftse100_close,ftse250_mean_close,period,ftse100_mean_close,cpih_annual_rate
1998-09-01,-0.23300970873786409,39.0,63.0,24.0,0.9959,0.08196442910878057,1,4657.922727272728,5589.08,4657.922727272728,Other,5589.08,1.7
1998-10-01,-0.16207430340557274,115.0,148.0,101.0,0.99915,0.08372319123932792,2,4516.204545454545,5646.9625,4516.204545454545,Other,5646.9625,1.6
1998-11-01,-0.31265117662476705,128.0,249.0,238.0,0.9969,0.08096917391746647,3,4885.033333333333,5611.05,4885.033333333333,Other,5611.05,1.7
1998-12-01,-0.3408061690947153,143.0,296.0,142.0,0.9992000000000001,0.07572099098261895,2,4761.9400000000005,5511.425,4761.9400000000005,Other,5511.425,1.9
1999-01-01,-0.28035714285714286,87.0,157.0,60.0,0.9979,0.08617192675609381,2,4904.9349999999995,6257.677777777778,4904.9349999999995,Other,6257.677777777778,1.7
1999-01-01,-0.28035714285714286,87.0,157.0,60.0,0.9979,0.08617192675609381,2,4904.9349999999995,6257.677777777778,4904.9349999999995,Other,6257.677777777778,2.0
1999-02-01,-0.07876646196696746,201.0,247.0,99.0,0.999425,0.08684359229484775,4,5192.545,6282.25,5192.545,Other,6282.25,1.9
1999-03-01,0.04886778167802326,136.0,116.0,75.0,0.99975,0.10216008431052365,2,5430.795652173913,6277.557142857143,5430.795652173913,Other,6277.557142857143,2.1
1999-05-01,0.035593268324420745,390.0,373.0,262.0,0.9997400000000001,0.09475391424196707,5,5760.773684210526,6194.425,5760.773684210526,Other,6194.425,1.7
1999-06-01,0.1325021181672558,129.0,102.0,77.0,0.9994666666666667,0.10829426777635846,3,5829.072727272727,6359.9375,5829.072727272727,Other,6359.9375,1.8
1999-08-01,-0.42767662620603797,235.0,617.0,460.0,0.00035000000000001696,0.05800749686052825,2,5996.571428571428,6306.43,5996.571428571428,Other,6306.43,1.6
